freq,spl
100.0,17.907645067768378
125.0,23.409836069251465
160.0,28.847083369091656
200.0,33.15163981355255
250.0,36.85803143507301
315.0,40.103158018204724
400.0,42.92964570599892
500.0,45.225208964901384
630.0,47.5077356538544
800.0,50.070863870267665
1000.0,52.67573662408573
1250.0,55.16970395869073
1600.0,57.786694252625075
2000.0,60.14496999479786
2500.0,63.45308998503465
3150.0,68.32917568214793
4000.0,69.2436859165617
5000.0,70.35013674175016
6300.0,75.56949299512581
8000.0,70.18486765273897
10000.0,55.64737434258862
12500.0,45.43156193018803
16000.0,41.17405863989739
20000.0,38.42350938077815
25000.0,35.60435573323785
31500.0,32.53645404915091
40000.0,29.189617141862204
