freq,spl
100.0,26.410402658927516
125.0,30.58135781020465
160.0,34.7922013383534
200.0,38.23585347387274
250.0,41.32606121341021
315.0,44.162793345412794
400.0,46.752839404137816
500.0,48.93668235208071
630.0,51.11872537476419
800.0,53.5525547657386
1000.0,56.120468758628526
1250.0,58.82707709823775
1600.0,61.81368862316073
2000.0,64.32772424422042
2500.0,67.38027311952447
3150.0,72.19247542121371
4000.0,78.23306311916427
5000.0,80.89654199601854
6300.0,79.61540569840994
8000.0,82.77269853907187
10000.0,84.27228841368068
12500.0,70.08269307255281
16000.0,56.901454371326885
20000.0,51.53875042647761
25000.0,48.2048116567008
31500.0,44.94208347524835
40000.0,41.568448625038464
