freq,spl
100.0,2.4119723667517547
125.0,10.257308377848542
160.0,18.07217058905562
200.0,24.375829074901965
250.0,29.97086182465716
315.0,35.05611744093319
400.0,39.626991496926436
500.0,43.36095631677197
630.0,46.85706356878339
800.0,50.37238674864433
1000.0,53.630637108322844
1250.0,56.631072504895194
1600.0,59.3705461446966
2000.0,61.03357541682664
2500.0,61.243053243856004
3150.0,59.56241650904728
4000.0,56.40714782912839
5000.0,53.37763322947714
6300.0,50.241901719086236
8000.0,47.01876690123808
10000.0,43.74250164099404
12500.0,39.93901874230296
16000.0,35.201089517066656
20000.0,30.42712414840851
25000.0,25.224702485700195
31500.0,19.437094352259955
40000.0,13.071292407858316
