freq,spl
100.0,18.646472808578906
125.0,24.023234901353415
160.0,29.320381817633322
200.0,33.52047452822823
250.0,37.151349994261224
315.0,40.34196744455347
400.0,43.12080117955597
500.0,45.368680040042875
630.0,47.58148795970985
800.0,50.05310145061841
1000.0,52.54333063737526
1250.0,54.91052308958693
1600.0,57.05396683994992
2000.0,58.14187837423343
2500.0,57.67080444534482
3150.0,55.44937878738885
4000.0,52.45093998390228
5000.0,49.8317059032106
6300.0,47.46742362979311
8000.0,45.38657718846704
10000.0,43.40271582446515
12500.0,41.28997312465793
16000.0,38.894345396054305
20000.0,36.65452654267372
25000.0,34.318610299287556
31500.0,31.755216584998998
40000.0,28.885774099307167
